f_word,s_word,f_amount,s_amount,pair_amount,pmi
beowulf,detektyw,1,1,4,12.759888260028116
parapet,unikać,1,1,4,12.759888260028116
remigiusza,mroza,1,1,4,12.759888260028116
premiera,killzone,1,1,4,12.759888260028116
„dekadą,mózgu”,1,1,4,12.759888260028116
zaoferować,kredyt,1,1,4,12.759888260028116
goodreads,com,1,1,4,12.759888260028116
niezręczny,proza,1,1,4,12.759888260028116
pożyczka,gotówkowy,1,1,4,12.759888260028116
dekoracyjny,wykorzystywać,1,1,4,12.759888260028116
latania,samolot,1,1,4,12.759888260028116
modelowanie,dynamiczny,1,1,4,12.759888260028116
znosić,moczenie,1,1,4,12.759888260028116
już,zacząć,1,1,4,12.759888260028116
grzywna,wysokość,1,1,4,12.759888260028116
długofalowy,ujęcie,1,1,4,12.759888260028116
szyszka,olcha,1,1,4,12.759888260028116
poperfumujemy,perfumy,1,1,4,12.759888260028116
serwować,nagły,1,1,4,12.759888260028116
mandat,500,1,1,4,12.759888260028116
pełniejszy,ciekawszy,1,1,4,12.759888260028116
realnie,kontrproduktywne,1,1,4,12.759888260028116
wisławie,szymborskiej,1,1,4,12.759888260028116
służący,dekodowanie,1,1,4,12.759888260028116
pięćset,sto,1,1,4,12.759888260028116
opracować,autorski,1,1,4,12.759888260028116
tor,przypominający,1,1,4,12.759888260028116
wysłuchać,“kroków,1,1,4,12.759888260028116
stanowisko,pediatra,1,1,4,12.759888260028116
skim,readingu,1,1,4,12.759888260028116
hala,skrzynia,1,1,4,12.759888260028116
assassin’s,creed,1,1,4,12.759888260028116
krzesło,hamak,1,1,4,12.759888260028116
naładować,przewód,1,1,4,12.759888260028116
odkrywać,ironiczny,1,1,4,12.759888260028116
pay,vis,1,1,4,12.759888260028116
innowacyjności,przedsiębiorczość,1,1,4,12.759888260028116
grzeszyć,nadmierny,1,1,4,12.759888260028116
akademia,pediatryczny,1,1,4,12.759888260028116
światowy,pandemia,1,1,4,12.759888260028116
zapominanie,osłabiać,1,1,4,12.759888260028116
znalezienie,doświadczony,1,1,4,12.759888260028116
Holender,matthijs,1,1,4,12.759888260028116
domysł,platon,1,1,4,12.759888260028116
sweter,makrama,1,1,4,12.759888260028116
przewód,usb,1,1,4,12.759888260028116
vis,checkout,1,1,4,12.759888260028116
500,zł,1,1,4,12.759888260028116
będący,persem,1,1,4,12.759888260028116
dziś,natknęłam,1,1,4,12.759888260028116
turbo,gruby,1,1,4,12.759888260028116
fast,food,1,1,4,12.759888260028116
przyciągać,zapalony,1,1,4,12.759888260028116
veltkamp,sprawdzać,1,1,4,12.759888260028116
konferencja,michała,1,1,4,12.759888260028116
skąpo,oświetlić,1,1,4,12.759888260028116
zyskać,turbo,1,1,4,12.759888260028116
agathy,christie,1,1,4,12.759888260028116
covid,19,1,1,4,12.759888260028116
fair,play,1,1,4,12.759888260028116
honorowy,zawodnik,1,1,4,12.759888260028116
stanowiący,integralny,1,1,4,12.759888260028116
ścianą,dziś,1,1,4,12.759888260028116
freidlanda,opublikowany,1,1,4,12.759888260028116
skalny,ceramiczny,1,1,4,12.759888260028116
kierownictwo,petera,1,1,4,12.759888260028116
kwas,huminowy,1,1,4,12.759888260028116
łączony,kompozycja,1,1,4,12.759888260028116
wedge’ami,pitching,1,1,4,12.759888260028116
ulubiony,cytat,1,1,4,12.759888260028116
wykonany,lokacja,1,1,4,12.759888260028116
kojący,prywatności,1,1,4,12.759888260028116
robert,freidland,1,1,4,12.759888260028116
lampa,kwietnik,1,1,4,12.759888260028116
american,progress,1,1,4,12.759888260028116
intelektualnie,uboższy,1,1,4,12.759888260028116
food,danie,1,1,4,12.759888260028116
niszczyć,gromadzony,1,1,4,12.759888260028116
crossowcom,wprowadzać,1,1,4,12.759888260028116
miłosz,kształtowanie,1,1,4,12.759888260028116
galaxy,buds,1,1,4,12.759888260028116
aleksandryjski,widnieć,1,1,4,12.759888260028116
model,3d,1,1,4,12.759888260028116
bransona,opalać,1,1,4,12.759888260028116
czesi,skandynawowie,1,1,4,12.759888260028116
siedlisko,grąd,1,1,4,12.759888260028116
tradycja,aczkolwiek,1,1,4,12.759888260028116
prefektura,fukushima,1,1,4,12.759888260028116
nieczytających,rówieśnik,1,1,4,12.759888260028116
cyfrowej,osobiście,1,1,4,12.759888260028116
michała,dworczyka,1,1,4,12.759888260028116
atest,potwierdzać,1,1,4,12.759888260028116
martijn,veltkamp,1,1,4,12.759888260028116
pięciogwiazdkowego,hotel,1,1,4,12.759888260028116
nieodwracalność,nierówność,1,1,4,12.759888260028116
obliczenie,inżynierski,1,1,4,12.759888260028116
pasywny,izolacja,1,1,4,12.759888260028116
wojna,quadowcom,1,1,4,12.759888260028116
studiować,ichniejszy,1,1,4,12.759888260028116
przeprowadzać,kompletny,1,1,4,12.759888260028116
srebro,ćwierć,1,1,4,12.759888260028116
najchętniej,kupowany,1,1,4,12.759888260028116
doświadczony,dentysta,1,1,4,12.759888260028116
pobliski,schronisko,1,1,4,12.759888260028116
nóż,tajskiego,1,1,4,12.759888260028116
comiesięczny,komentarz,1,1,4,12.759888260028116
antypoślizgowe,wkładka,1,1,4,12.759888260028116
roztwór,podlać,1,1,4,12.759888260028116
rozgrzewający,napój,1,1,4,12.759888260028116
tradycyjnie,uważany,1,1,4,12.759888260028116
mg1,stanowiący,1,1,4,12.759888260028116
jeździć,konno,1,1,4,12.759888260028116
la,plata,1,1,4,12.759888260028116
rekrutacyjny,zmierzający,1,1,4,12.759888260028116
nieużytek,porolnych,1,1,4,12.759888260028116
gama,niuanse,1,1,4,12.759888260028116
dworczyka,pełnomocnik,1,1,4,12.759888260028116
partia,odnotować,1,1,4,12.759888260028116
aloy,walczący,1,1,4,12.759888260028116
testament,umowa,1,1,4,12.759888260028116
pleciony,sukienka,1,1,4,12.759888260028116
38,33,1,1,4,12.759888260028116
leszek,skiba,1,1,4,12.759888260028116
współmałżonek,szef,1,1,4,12.759888260028116
“sztuki,współczesnej”,1,1,4,12.759888260028116
ciemny,mroczny,1,1,4,12.759888260028116
roberta,freidlanda,1,1,4,12.759888260028116
pałeczka,nawozowy,1,1,4,12.759888260028116
checkout,masterpass,1,1,4,12.759888260028116
premier,mateusza,1,1,4,12.759888260028116
przypominający,okrąg,1,1,4,12.759888260028116
raport,“to,1,1,4,12.759888260028116
ewolucja,gatunkowy,1,1,4,12.759888260028116
społecznościowe,netflix,1,1,4,12.759888260028116
tkwić,sedno,1,1,4,12.759888260028116
google,pay,1,1,4,12.759888260028116
dinozaur,powracać,1,1,4,12.759888260028116
udzielić,jednoznaczny,1,1,4,12.759888260028116
ochrona,mienie,1,1,4,12.759888260028116
sprawnie,posługiwać,1,1,4,12.759888260028116
litera,składanie,1,1,4,12.759888260028116
olga,tokarczuk,1,1,4,12.759888260028116
nierówny,zamarznięty,1,1,4,12.759888260028116
pstrążenia,srebrzysty,1,1,4,12.759888260028116
oddziaływanie,grawitacyjny,1,1,4,12.759888260028116
habit,trackerze,1,1,4,12.759888260028116
proceder,ukrócić,1,1,4,12.759888260028116
jawny,zapożyczanie,1,1,4,12.759888260028116
ustalenie,termin,1,1,4,12.759888260028116
ubytek,tkanka,1,1,4,12.759888260028116
visual,basic,1,1,4,12.759888260028116
dający,możliwość,1,1,4,12.759888260028116
sumiennie,studiować,1,1,4,12.759888260028116
laskowicach,funkcjonować,1,1,4,12.759888260028116
seria,akrham,1,1,4,12.759888260028116
ucla,„efektem,1,1,4,12.759888260028116
okap,drzewostan,1,1,4,12.759888260028116
widok,wybuch,1,1,4,12.759888260028116
wydrukowanie,przerzucić,1,1,4,12.759888260028116
niepokojący,symptom,1,1,4,12.759888260028116
przypadkowy,trafienie,1,1,4,12.759888260028116
plaża,majorki,1,1,4,12.759888260028116
urozmaicić,gotowany,1,1,4,12.759888260028116
oczekiwania,środowiska”,1,1,4,12.759888260028116
atrakcja,skrojony,1,1,4,12.759888260028116
doskonale,odnajdywać,1,1,4,12.759888260028116
marchewka,ogórek,1,1,4,12.759888260028116
włos,czuciowy,1,1,4,12.759888260028116
niemożliwych,przysiąść,1,1,4,12.759888260028116
wbudowany,presetom,1,1,4,12.759888260028116
nieznane”,richarda,1,1,4,12.759888260028116
or,nota,1,1,4,12.759888260028116
¾,normalny,1,1,4,12.759888260028116
jama,ustny,1,1,4,12.759888260028116
41,respondent,1,1,4,12.759888260028116
stopienie,przetworzenie,1,1,4,12.759888260028116
dodawać,seksapil,1,1,4,12.759888260028116
zapraszać,inkluzyjny,1,1,4,12.759888260028116
ignacego,karpowicza,1,1,4,12.759888260028116
perfekcyjnym,kolonizator,1,1,4,12.759888260028116
czesław,miłosz,1,1,4,12.759888260028116
praktykować,spokój,1,1,4,12.759888260028116
wszechobecne,rozproszenie,1,1,4,12.759888260028116
nieumiejącą,przeciwstawić,1,1,4,12.759888260028116
„w,prezencie”,1,1,4,12.759888260028116
absolutny,nowicjusz,1,1,4,12.759888260028116
kontrgalopie,przykładowy,1,1,4,12.759888260028116
dług,pyszczek,1,1,4,12.759888260028116
dostosowanie,fontu,1,1,4,12.759888260028116
lód,tworzony,1,1,4,12.759888260028116
głośny,kawiarnia,1,1,4,12.759888260028116
poirot,smaug,1,1,4,12.759888260028116
mylący,wszak,1,1,4,12.759888260028116
spędzenie,popołudnie,1,1,4,12.759888260028116
wymarzony,metropolia,1,1,4,12.759888260028116
przebywać,blisko,1,1,4,12.759888260028116
pico,reef,1,1,4,12.759888260028116
systematyczność,cotygodniowe,1,1,4,12.759888260028116
strategiczny,partnerstwo,1,1,4,12.759888260028116
sentymentalnie,związać,1,1,4,12.759888260028116
piscine,patel,1,1,4,12.759888260028116
»głębokiego,czytania«,1,1,4,12.759888260028116
cywilno,prawny,1,1,4,12.759888260028116
oto,wysłuchać,1,1,4,12.759888260028116
prawy,półkulę,1,1,4,12.759888260028116
“nie,opłacać,1,1,4,12.759888260028116
szczelny,zaciskanie,1,1,4,12.759888260028116
tron”,hermiona,1,1,4,12.759888260028116
karłowacieć,reda,1,1,4,12.759888260028116
osobnik,żywić,1,1,4,12.759888260028116
groźba,kar,1,1,4,12.759888260028116
nieznane,stresujących,1,1,4,12.759888260028116
kwintesencja,kontrast,1,1,4,12.759888260028116
nadzorować,pion,1,1,4,12.759888260028116
podjęty,pościg,1,1,4,12.759888260028116
wytwarzanie,narzut,1,1,4,12.759888260028116
wada,redakcyjny,1,1,4,12.759888260028116
niebezpiecznie,uproszczony,1,1,4,12.759888260028116
wiatr,trawa,1,1,4,12.759888260028116
udawany,“delikatność”,1,1,4,12.759888260028116
richarda,bransona,1,1,4,12.759888260028116
zbijanie,błędny,1,1,4,12.759888260028116
studio,całkowicie,1,1,4,12.759888260028116
wyrzutek,aloy,1,1,4,12.759888260028116
nona,fiction,1,1,4,12.759888260028116
stosowany,dolistnie,1,1,4,12.759888260028116
wyrzeźbiony,warzywo,1,1,4,12.759888260028116
1700,m2,1,1,4,12.759888260028116
„wbrew,naturze”,1,1,4,12.759888260028116
mniemanie,domysł,1,1,4,12.759888260028116
sto,dziewięćset,1,1,4,12.759888260028116
„hobbita”,voldemort,1,1,4,12.759888260028116
post,apokaliptyczny,2,1,7,12.56724318208572
zadrapanie,wyblaknięcie,1,1,3,12.344850760749273
nadal,praktykować,1,1,3,12.344850760749273
panama,łaciński,1,1,3,12.344850760749273
namiot,huśtawka,1,1,3,12.344850760749273
yaris,cross,2,1,6,12.344850760749273
retrievery,berneńskie,1,1,3,12.344850760749273
bezzębny,wyrastać,1,1,3,12.344850760749273
mandat,zł,1,1,3,12.344850760749273
„książki,lekarstwo,1,1,3,12.344850760749273
pięciogwiazdkowego,raffles,1,1,3,12.344850760749273
mur,hotel,1,1,3,12.344850760749273
podniesienie,góra,1,1,3,12.344850760749273
sugerować,udomowienie,1,1,3,12.344850760749273
mebel,krzesło,1,1,3,12.344850760749273
przyjazny,wiosna,1,1,3,12.344850760749273
dominować,pochodzący,1,1,3,12.344850760749273
nierzadko,podbrzusze,1,1,3,12.344850760749273
osłabić,nadal,1,1,3,12.344850760749273
chyłka,mroza,1,1,3,12.344850760749273
16,ścieżka,1,1,3,12.344850760749273
reakcja,odpornościowy,1,1,3,12.344850760749273
deklarować,zajdel,1,1,3,12.344850760749273
równoznaczny,obowiązek,1,1,3,12.344850760749273
wyciec,podstawka,1,1,3,12.344850760749273
przeciwstawić,namiętność,1,1,3,12.344850760749273
beowulf,poirot,1,1,3,12.344850760749273
równomierność,rytmika,1,1,3,12.344850760749273
petera,zrzeszać,1,1,3,12.344850760749273
kwas,uwalniany,1,1,3,12.344850760749273
oczyszczony,tryt,1,1,3,12.344850760749273
mg1,integralny,1,1,3,12.344850760749273
usunąć,perfekcyjnym,1,1,3,12.344850760749273
patel,„życia,1,1,3,12.344850760749273
abażur,lampa,1,1,3,12.344850760749273
jakże,zdarzać,1,1,3,12.344850760749273
pandemia,wywołać,1,1,3,12.344850760749273
chować,wysuwać,1,1,3,12.344850760749273
piguła,wiedźmina,1,1,3,12.344850760749273
zdobywca,”,1,1,3,12.344850760749273
dokonanie,siła,1,1,3,12.344850760749273
plata,argentynie,1,1,3,12.344850760749273
koronawirusowi,wkrótce,1,1,3,12.344850760749273
wersja,osobiście,1,1,3,12.344850760749273
modowe,galanteria,1,1,3,12.344850760749273
prawidłowy,posiadany,1,1,3,12.344850760749273
uniwersytecki,londynie,1,1,3,12.344850760749273
najprzeróżniejszy,zbędny,1,1,3,12.344850760749273
de,plata,1,1,3,12.344850760749273
koza,stado,1,1,3,12.344850760749273
uwielbiać,stara,1,1,3,12.344850760749273
przybyć,wymarzony,1,1,3,12.344850760749273
społecznościowe,youtube,1,1,3,12.344850760749273
marketing,dziedzina,1,1,3,12.344850760749273
jacek,komendant,1,1,3,12.344850760749273
najciekawszy,najrzadszy,1,1,3,12.344850760749273
tkanka,nieprzyjemny,1,1,3,12.344850760749273
rówieśnik,wolontariat,1,1,3,12.344850760749273
odejście,rutyna,1,1,3,12.344850760749273
stopniowo,zapominanie,1,1,3,12.344850760749273
odgadnięcie,brzmieć,1,1,3,12.344850760749273
